year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Dogfish Spiny,Other Maine,Not-Specified,UK,Live Pounds,49342,20098,79,7
2009,Dogfish Spiny,Other Maine,Not-Specified,UK,Live Pounds,593980,114897,446,25
2010,Dogfish Spiny,Other Maine,Not-Specified,UK,Live Pounds,228646,62899,112,16
2011,Dogfish Spiny,Other Maine,Not-Specified,UK,Live Pounds,349166,74849,208,14
2012,Dogfish Spiny,Other Maine,Not-Specified,UK,Live Pounds,226770,42555,122,10
2013,Dogfish Spiny,Other Maine,Not-Specified,UK,Live Pounds,106610,17945,58,7
2014,Dogfish Spiny,Other Maine,Not-Specified,UK,Live Pounds,214763,34990,93,4
2015,Dogfish Spiny,Other Maine,Not-Specified,UK,Live Pounds,20454,3446,15,6
