year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2021,Flounder Winter,Other Maine,Not-Specified,UK,Live Pounds,112,204,27,7
2022,Flounder Winter,Portland,Cumberland,UK,Live Pounds,322,533,28,10
