year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2009,Hake Silver (Whiting),Other Maine,Not-Specified,UK,Live Pounds,657,252,81,16
2012,Hake Silver (Whiting),Other Maine,Not-Specified,UK,Live Pounds,52490,22718,330,23
2014,Hake Silver (Whiting),Other Maine,Not-Specified,UK,Live Pounds,79072,43342,562,20
2015,Hake Silver (Whiting),Other Maine,Not-Specified,UK,Live Pounds,57630,43541,255,19
2016,Hake Silver (Whiting),Other Maine,Not-Specified,UK,Live Pounds,45956,43522,207,16
2021,Hake Silver (Whiting),Other Maine,Not-Specified,UK,Live Pounds,5443,4826,47,14
2022,Hake Silver (Whiting),Portland,Cumberland,UK,Live Pounds,7050,2050,82,17
2023,Hake Silver (Whiting),Other Maine,Not-Specified,UK,Live Pounds,27033,9696,166,20
