year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Cucumber Sea,Other Maine,Not-Specified,UK,Live Pounds,4310528,707302,627,13
2013,Cucumber Sea,Other Maine,Not-Specified,UK,Live Pounds,1070020,307581,258,13
2014,Cucumber Sea,Other Maine,Not-Specified,UK,Live Pounds,487480,161974,152,11
