year,species,weight,value,trip_n,harv_n
1979,Hake Silver (Whiting),143231,15328,,
1980,Hake Silver (Whiting),545302,61499,,
1981,Hake Silver (Whiting),2823127,329513,,
1982,Hake Silver (Whiting),1919736,258326,,
1983,Hake Silver (Whiting),2316849,327782,,
1984,Hake Silver (Whiting),3623839,322564,,
1985,Hake Silver (Whiting),2492602,276198,,
1986,Hake Silver (Whiting),1930305,351825,,
1987,Hake Silver (Whiting),1281274,341000,,
1988,Hake Silver (Whiting),2142467,416783,,
1989,Hake Silver (Whiting),758046,218462,,
1990,Hake Silver (Whiting),263857,55510,,
1991,Hake Silver (Whiting),126840,44368,,
1992,Hake Silver (Whiting),101614,52948,,
1993,Hake Silver (Whiting),61496,24423,,
1994,Hake Silver (Whiting),1935150,526584,,
1995,Hake Silver (Whiting),1980554,628833,,
1996,Hake Silver (Whiting),3206663,1174927,,
1997,Hake Silver (Whiting),1244100,319272,,
1998,Hake Silver (Whiting),176658,47740,,
1999,Hake Silver (Whiting),141886,49758,,
2000,Hake Silver (Whiting),21519,13345,,
2001,Hake Silver (Whiting),33606,11996,,
2002,Hake Silver (Whiting),42233,10374,,
2003,Hake Silver (Whiting),2203,1062,,
2004,Hake Silver (Whiting),2419,1055,,
2005,Hake Silver (Whiting),2524,462,,
2006,Hake Silver (Whiting),2627,202,,
2007,Hake Silver (Whiting),383,74,,
2009,Hake Silver (Whiting),657,252,,
2012,Hake Silver (Whiting),52490,22718,,
2013,Hake Silver (Whiting),25518,20079,,
2014,Hake Silver (Whiting),79072,43342,,
2015,Hake Silver (Whiting),57630,43541,,
2016,Hake Silver (Whiting),45956,43522,,
1973,Skates,3320,268,,
1974,Skates,19490,1041,,
1975,Skates,32869,2413,,
1976,Skates,79853,10607,,
1977,Skates,138083,17437,,
1978,Skates,191680,24552,,
1979,Skates,399195,63628,,
1980,Skates,435412,65779,,
1981,Skates,333304,52555,,
1982,Skates,385758,49783,,
1983,Skates,570452,47504,,
1984,Skates,508750,30570,,
1985,Skates,318445,13616,,
1986,Skates,237181,14321,,
1987,Skates,372403,25427,,
1988,Skates,180516,12123,,
1989,Skates,220051,15869,,
1990,Skates,103765,7971,,
1991,Skates,37184,2576,,
1992,Skates,99469,8326,,
1993,Skates,368267,50052,,
1994,Skates,976335,251263,,
1995,Skates,769736,180389,,
1996,Skates,589496,147505,,
1997,Skates,487216,102877,,
1998,Skates,357671,72216,,
1999,Skates,482459,104964,,
2000,Skates,304299,74908,,
2001,Skates,304732,58670,,
2002,Skates,302427,67622,,
2003,Skates,168379,39826,,
2004,Skates,29342,4965,,
2005,Skates,23919,5034,,
2010,Skates,10964,3011,,
1950,Clam Soft,33696810,1184370,,
1951,Clam Soft,25090940,1186937,,
1952,Clam Soft,27060740,1673347,,
1953,Clam Soft,20325200,1382161,,
1954,Clam Soft,18237310,1360436,,
1955,Clam Soft,12845350,948592,,
1956,Clam Soft,10917690,808035,,
1957,Clam Soft,9622130,737518,,
1958,Clam Soft,8006600,599633,,
1959,Clam Soft,7107940,547789,,
1960,Clam Soft,10160150,822810,,
1961,Clam Soft,9038050,793590,,
1962,Clam Soft,9706410,894395,,
1963,Clam Soft,8974840,786765,,
1964,Clam Soft,8670643,814652,,
1965,Clam Soft,9622718,963671,,
1966,Clam Soft,14740195,1387246,,
1967,Clam Soft,15563424,1478777,,
1968,Clam Soft,16326717,1388102,,
1969,Clam Soft,20261098,1752149,,
1970,Clam Soft,25766880,2497362,,
1971,Clam Soft,25724339,2694244,,
1972,Clam Soft,30094869,3708573,,
1973,Clam Soft,33082830,5264899,,
1974,Clam Soft,28926724,4510771,,
1975,Clam Soft,32081461,5692252,,
1976,Clam Soft,36104655,7489339,,
1977,Clam Soft,38391657,9271544,,
1978,Clam Soft,29435447,7469611,,
1979,Clam Soft,25447234,7507899,,
1980,Clam Soft,27703924,8518278,,
1981,Clam Soft,25428638,8409568,,
1982,Clam Soft,20857693,6394045,,
1983,Clam Soft,20315341,7249306,,
1984,Clam Soft,25511924,11606099,,
1985,Clam Soft,23295683,12132260,,
1986,Clam Soft,18501596,11046789,,
1987,Clam Soft,13213036,8214291,,
1988,Clam Soft,11324473,7423976,,
1989,Clam Soft,12332962,8437650,,
1990,Clam Soft,12318086,8850690,,
1991,Clam Soft,7242180,4784092,,
1992,Clam Soft,11101401,7862425,,
1993,Clam Soft,11299439,9158238,,
1994,Clam Soft,9891508,8817991,,
1995,Clam Soft,9145943,7940748,,
1996,Clam Soft,7628281,5408920,,
1997,Clam Soft,8619860,7325092,,
1998,Clam Soft,11536041,10082059,,
1999,Clam Soft,11181594,10465211,,
2000,Clam Soft,11193217,9545531,,
2001,Clam Soft,13031932,16609083,,
2002,Clam Soft,11875072,14369771,,
2003,Clam Soft,11584281,15859272,,
2004,Clam Soft,11661647,16627775,,
2005,Clam Soft,9099746,14080692,,
2006,Clam Soft,9608285,13775038,,
2007,Clam Soft,9107965,12574283,,
2008,Clam Soft,9764154,12825057,,
2009,Clam Soft,9306958,11686086,,
2010,Clam Soft,10211009,13044773,,
2011,Clam Soft,11587233,15850931,,
2012,Clam Soft,11081155,15693501,,
2013,Clam Soft,11250760,18102437,,
2014,Clam Soft,10182821,20231500,,
2015,Clam Soft,9266696,22840960,,
2016,Clam Soft,7642785,16231342,,
2017,Clam Soft,6916497,13195062,,
2018,Clam Soft,7187777,12921624,,
2019,Clam Soft,7810802,18239889,,
1950,Hake White,6117600,195294,,
1951,Hake White,3944400,156289,,
1952,Hake White,4816300,185263,,
1953,Hake White,4599700,190231,,
1954,Hake White,3787700,153037,,
1955,Hake White,2831100,103066,,
1956,Hake White,3186800,103731,,
1957,Hake White,2870300,103781,,
1958,Hake White,2088000,91913,,
1959,Hake White,1810700,73509,,
1960,Hake White,3033200,108667,,
1961,Hake White,2730500,95027,,
1962,Hake White,3276500,109636,,
1963,Hake White,3564100,124974,,
1964,Hake White,3375748,123506,,
1965,Hake White,3849855,127429,,
1966,Hake White,2017608,86677,,
1967,Hake White,1411972,60625,,
1968,Hake White,1255448,53440,,
1969,Hake White,1048131,46547,,
1970,Hake White,1410798,74913,,
1971,Hake White,1945544,105790,,
1972,Hake White,2949425,176068,,
1973,Hake White,2796605,191405,,
1974,Hake White,3777792,265502,,
1975,Hake White,3401818,365243,,
1976,Hake White,4122316,600777,,
1977,Hake White,4883137,739655,,
1978,Hake White,5012776,904959,,
1979,Hake White,3954716,719218,,
1980,Hake White,4489245,852251,,
1981,Hake White,8257213,1335411,,
1982,Hake White,9375232,1248403,,
1983,Hake White,9461638,1313574,,
1984,Hake White,8547696,1207257,,
1985,Hake White,7021024,1366563,,
1986,Hake White,6052254,2140210,,
1987,Hake White,6665833,2879256,,
1988,Hake White,5942661,1692062,,
1989,Hake White,6895770,2634867,,
1990,Hake White,6054763,2353063,,
1991,Hake White,7231907,3257998,,
1992,Hake White,11809155,4992437,,
1993,Hake White,11114488,4895094,,
1994,Hake White,6482223,3705459,,
1995,Hake White,5581517,3686045,,
1996,Hake White,4297704,2829419,,
1997,Hake White,3146595,2106382,,
1998,Hake White,2991924,2155531,,
1999,Hake White,2979075,2267158,,
2000,Hake White,3752323,2366591,,
2001,Hake White,4187208,2207356,,
2002,Hake White,4331450,2791921,,
2003,Hake White,6414831,3108314,,
2004,Hake White,4763826,2816595,,
2005,Hake White,3359227,2880981,,
2006,Hake White,1673018,1843706,,
2007,Hake White,1319343,1351657,,
2008,Hake White,788601,734330,,
2009,Hake White,775488,639842,,
2010,Hake White,612669,649781,,
2011,Hake White,862432,799463,,
2012,Hake White,1140575,1414395,,
2013,Hake White,1081181,1477447,,
2014,Hake White,818486,1230130,,
2015,Hake White,627261,901101,,
2016,Hake White,432519,766991,,
2017,Hake White,342951,469226,,
2018,Hake White,578908,590849,,
2019,Hake White,354425,492027,,
1950,Flounder Winter,1592900,74344,,
1951,Flounder Winter,2295600,184931,,
1952,Flounder Winter,1425600,119441,,
1953,Flounder Winter,1026900,75123,,
1954,Flounder Winter,1193100,93560,,
1955,Flounder Winter,935800,67423,,
1956,Flounder Winter,508300,32373,,
1957,Flounder Winter,694400,41018,,
1958,Flounder Winter,487700,26648,,
1959,Flounder Winter,342300,19043,,
1960,Flounder Winter,365900,23009,,
1961,Flounder Winter,158600,7368,,
1962,Flounder Winter,74600,4183,,
1963,Flounder Winter,49800,2822,,
1964,Flounder Winter,76578,3853,,
1965,Flounder Winter,113142,6388,,
1966,Flounder Winter,96201,5199,,
1967,Flounder Winter,103119,5980,,
1968,Flounder Winter,60000,3358,,
1969,Flounder Winter,95766,6836,,
1970,Flounder Winter,301033,21314,,
1971,Flounder Winter,146780,11726,,
1972,Flounder Winter,281781,38317,,
1973,Flounder Winter,209914,33353,,
1974,Flounder Winter,239769,44821,,
1975,Flounder Winter,531962,125799,,
1976,Flounder Winter,388016,107670,,
1977,Flounder Winter,427640,123889,,
1978,Flounder Winter,722865,263170,,
1979,Flounder Winter,985664,312219,,
1980,Flounder Winter,1248822,387422,,
1981,Flounder Winter,1474293,535981,,
1982,Flounder Winter,1979543,692792,,
1983,Flounder Winter,1493995,496350,,
1984,Flounder Winter,948747,405479,,
1985,Flounder Winter,733384,418926,,
1986,Flounder Winter,648922,512498,,
1987,Flounder Winter,536593,606045,,
1988,Flounder Winter,617248,664965,,
1989,Flounder Winter,518292,585650,,
1990,Flounder Winter,361636,341216,,
1991,Flounder Winter,367539,373026,,
1992,Flounder Winter,268549,282693,,
1993,Flounder Winter,127378,126857,,
1994,Flounder Winter,80670,98524,,
1995,Flounder Winter,51994,64894,,
1996,Flounder Winter,16595,18707,,
1997,Flounder Winter,46004,48421,,
1998,Flounder Winter,10364,10658,,
1999,Flounder Winter,9798,9812,,
2000,Flounder Winter,32854,35700,,
2003,Flounder Winter,114071,122479,,
2004,Flounder Winter,52347,56613,,
2005,Flounder Winter,44968,63987,,
2006,Flounder Winter,72212,128020,,
1950,Flounder Atlantic Witch (Gray Sole),1207900,62872,,
1951,Flounder Atlantic Witch (Gray Sole),1634700,105900,,
1952,Flounder Atlantic Witch (Gray Sole),1367700,98844,,
1953,Flounder Atlantic Witch (Gray Sole),1598900,124311,,
1954,Flounder Atlantic Witch (Gray Sole),1272900,93281,,
1955,Flounder Atlantic Witch (Gray Sole),1182400,90708,,
1956,Flounder Atlantic Witch (Gray Sole),1184800,99382,,
1957,Flounder Atlantic Witch (Gray Sole),1185600,140386,,
1958,Flounder Atlantic Witch (Gray Sole),1006600,100686,,
1959,Flounder Atlantic Witch (Gray Sole),794900,86380,,
1960,Flounder Atlantic Witch (Gray Sole),809500,81243,,
1961,Flounder Atlantic Witch (Gray Sole),569700,58143,,
1962,Flounder Atlantic Witch (Gray Sole),597700,54477,,
1963,Flounder Atlantic Witch (Gray Sole),711100,66040,,
1964,Flounder Atlantic Witch (Gray Sole),497602,40053,,
1965,Flounder Atlantic Witch (Gray Sole),1705,101,,
1966,Flounder Atlantic Witch (Gray Sole),413818,38804,,
1967,Flounder Atlantic Witch (Gray Sole),528603,50649,,
1968,Flounder Atlantic Witch (Gray Sole),800784,73933,,
1969,Flounder Atlantic Witch (Gray Sole),446782,35898,,
1970,Flounder Atlantic Witch (Gray Sole),445728,41863,,
1971,Flounder Atlantic Witch (Gray Sole),514214,56782,,
1972,Flounder Atlantic Witch (Gray Sole),993178,147415,,
1973,Flounder Atlantic Witch (Gray Sole),1317975,268872,,
1974,Flounder Atlantic Witch (Gray Sole),574513,144186,,
1975,Flounder Atlantic Witch (Gray Sole),770680,257528,,
1976,Flounder Atlantic Witch (Gray Sole),851902,391584,,
1977,Flounder Atlantic Witch (Gray Sole),1694181,848070,,
1978,Flounder Atlantic Witch (Gray Sole),3045905,1564035,,
1979,Flounder Atlantic Witch (Gray Sole),2656928,1524651,,
1980,Flounder Atlantic Witch (Gray Sole),3597952,1909949,,
1981,Flounder Atlantic Witch (Gray Sole),3965413,2392313,,
1982,Flounder Atlantic Witch (Gray Sole),5764095,3176799,,
1983,Flounder Atlantic Witch (Gray Sole),7805623,4562365,,
1984,Flounder Atlantic Witch (Gray Sole),6408619,4523090,,
1985,Flounder Atlantic Witch (Gray Sole),5739037,4718782,,
1986,Flounder Atlantic Witch (Gray Sole),4516184,4647392,,
1987,Flounder Atlantic Witch (Gray Sole),4966267,7054626,,
1988,Flounder Atlantic Witch (Gray Sole),4529322,6486707,,
1989,Flounder Atlantic Witch (Gray Sole),2707633,4834498,,
1990,Flounder Atlantic Witch (Gray Sole),1330245,2679626,,
1991,Flounder Atlantic Witch (Gray Sole),1702662,3036939,,
1992,Flounder Atlantic Witch (Gray Sole),2089258,3473511,,
1993,Flounder Atlantic Witch (Gray Sole),2731042,4618362,,
1994,Flounder Atlantic Witch (Gray Sole),2992118,4893624,,
1995,Flounder Atlantic Witch (Gray Sole),2230696,3993731,,
1996,Flounder Atlantic Witch (Gray Sole),2279413,3858215,,
1997,Flounder Atlantic Witch (Gray Sole),1973641,3375763,,
1998,Flounder Atlantic Witch (Gray Sole),1848028,2956165,,
1999,Flounder Atlantic Witch (Gray Sole),1979699,2773070,,
2000,Flounder Atlantic Witch (Gray Sole),2066331,2730576,,
2001,Flounder Atlantic Witch (Gray Sole),2420452,2779402,,
2002,Flounder Atlantic Witch (Gray Sole),2335166,2657689,,
2003,Flounder Atlantic Witch (Gray Sole),1870281,2564101,,
2004,Flounder Atlantic Witch (Gray Sole),2135202,2819664,,
2005,Flounder Atlantic Witch (Gray Sole),1777320,2537231,,
2006,Flounder Atlantic Witch (Gray Sole),945435,1811095,,
2007,Flounder Atlantic Witch (Gray Sole),602734,1385448,,
2008,Flounder Atlantic Witch (Gray Sole),346606,781469,,
2009,Flounder Atlantic Witch (Gray Sole),282428,472535,,
2010,Flounder Atlantic Witch (Gray Sole),137936,302939,,
2011,Flounder Atlantic Witch (Gray Sole),139010,257588,,
2012,Flounder Atlantic Witch (Gray Sole),282750,475631,,
2013,Flounder Atlantic Witch (Gray Sole),247664,576799,,
2014,Flounder Atlantic Witch (Gray Sole),141791,366471,,
2015,Flounder Atlantic Witch (Gray Sole),117525,296584,,
2016,Flounder Atlantic Witch (Gray Sole),65153,183115,,
2017,Flounder Atlantic Witch (Gray Sole),41495,101187,,
2019,Flounder Atlantic Witch (Gray Sole),131540,221471,,
1950,Flounder Yellowtail,145300,10839,,
1951,Flounder Yellowtail,82400,9706,,
1952,Flounder Yellowtail,55100,4563,,
1953,Flounder Yellowtail,58500,5701,,
1954,Flounder Yellowtail,23700,2202,,
1955,Flounder Yellowtail,29700,2886,,
1956,Flounder Yellowtail,51700,6266,,
1957,Flounder Yellowtail,40600,3533,,
1958,Flounder Yellowtail,64300,5357,,
1959,Flounder Yellowtail,113400,9725,,
1960,Flounder Yellowtail,65300,5986,,
1961,Flounder Yellowtail,65900,3950,,
1962,Flounder Yellowtail,17300,1369,,
1964,Flounder Yellowtail,5410,156,,
1965,Flounder Yellowtail,7175,490,,
1966,Flounder Yellowtail,21800,1723,,
1967,Flounder Yellowtail,77850,6189,,
1968,Flounder Yellowtail,13040,915,,
1969,Flounder Yellowtail,76375,8221,,
1970,Flounder Yellowtail,155067,13317,,
1971,Flounder Yellowtail,86457,8776,,
1972,Flounder Yellowtail,276449,47546,,
1973,Flounder Yellowtail,120062,23190,,
1974,Flounder Yellowtail,197082,45079,,
1975,Flounder Yellowtail,324621,104067,,
1976,Flounder Yellowtail,314450,120892,,
1977,Flounder Yellowtail,331117,132500,,
1978,Flounder Yellowtail,509436,212639,,
1979,Flounder Yellowtail,430521,168008,,
1980,Flounder Yellowtail,644713,223110,,
1981,Flounder Yellowtail,514529,203090,,
1982,Flounder Yellowtail,485800,164991,,
1983,Flounder Yellowtail,391760,130605,,
1984,Flounder Yellowtail,187346,70322,,
1985,Flounder Yellowtail,6049507,3355430,,
1986,Flounder Yellowtail,5067254,3511123,,
1987,Flounder Yellowtail,3206000,2529396,,
1988,Flounder Yellowtail,1909927,1591535,,
1989,Flounder Yellowtail,831374,719089,,
1990,Flounder Yellowtail,186255,137320,,
1991,Flounder Yellowtail,174925,158147,,
1992,Flounder Yellowtail,163457,162028,,
1993,Flounder Yellowtail,155484,178418,,
1994,Flounder Yellowtail,73267,89309,,
1995,Flounder Yellowtail,50745,56999,,
1996,Flounder Yellowtail,33225,34767,,
1997,Flounder Yellowtail,33163,37939,,
1998,Flounder Yellowtail,30036,30510,,
1999,Flounder Yellowtail,26951,28463,,
2000,Flounder Yellowtail,67590,77311,,
2001,Flounder Yellowtail,131655,111166,,
2002,Flounder Yellowtail,76455,88992,,
2005,Flounder Yellowtail,7705,5688,,
2007,Flounder Yellowtail,23353,36113,,
2009,Flounder Yellowtail,1259,1231,,
